model_id,objective,alpha,epsilon,layer,relative_change_mean,relative_change_median,relative_change_p05,relative_change_p95,relative_change_max,relative_change_min,relative_change_n,cumulative_condition_mean,cumulative_condition_median,cumulative_condition_p05,cumulative_condition_p95,cumulative_condition_max,cumulative_condition_min,cumulative_condition_n,incremental_condition_mean,incremental_condition_median,incremental_condition_p05,incremental_condition_p95,incremental_condition_max,incremental_condition_min,incremental_condition_n
hard_a0.05,hard_teacher_ce,0.05,0.001,0,0.0010000000365835149,0.0010000000474974513,0.0009999999310821295,0.0010000001639127731,0.0010000001639127731,0.0009999999310821295,32,1.0,1.0,1.0,1.0,1.0,1.0,32,,,,,,,
hard_a0.05,hard_teacher_ce,0.05,0.001,1,0.0007570400721306214,0.0007555566553492099,0.0007424647628795356,0.0007704777730396017,0.0007734615355730057,0.0007375557906925678,32,0.7570400444095478,0.7555566634501156,0.74246476640058,0.770477736443873,0.7734614988355558,0.7375557556605492,32,0.7570400444095478,0.7555566634501156,0.74246476640058,0.770477736443873,0.7734614988355558,0.7375557556605492,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,2,0.0006618584648094838,0.0006617733743041754,0.0006448272091802209,0.0006764973542885855,0.0006824326701462269,0.0006426980253309011,32,0.6618584406140016,0.6617733813876301,0.6448271785525734,0.6764973221566869,0.6824326377324159,0.6426979948043844,32,0.8742602879551831,0.874621241682766,0.8633236091474586,0.885580904785922,0.8859616376875246,0.8591594898519244,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,3,8.20340839027267e-05,5.812471863464452e-05,2.1884717534703667e-05,0.00019524219023878684,0.00033622884075157344,2.0156072423560545e-05,32,0.08203408079862821,0.05812471925592624,0.02188471649523541,0.19524217039865388,0.3362288247815612,0.020156071466198522,32,0.12330208388289411,0.0879711793362456,0.03379912108205994,0.2909889716957318,0.49761545714434624,0.031067253888557782,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,4,8.274629095694763e-05,5.8664527387009e-05,2.3218515707412735e-05,0.000195452083426062,0.0003362801799084991,2.163542012567632e-05,32,0.08274628782584018,0.0586645280109749,0.02321851460459247,0.19545206356821973,0.3362801639360484,0.021635419098049054,32,1.018690529796268,1.0101139409138318,1.0010845737070964,1.0683117237383444,1.0733946411299136,1.000152691116,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,5,8.263565655397542e-05,5.860607780050486e-05,2.283195872223587e-05,0.00019537444750312714,0.0003361415001563728,2.129457425326109e-05,32,0.08263565342736562,0.05860607842538074,0.02283195763777607,0.1953744276517892,0.336141484190509,0.021294573241823135,32,0.9970893695662889,0.999022555387782,0.9875504755174151,1.0009994397208408,1.0030605854195878,0.9701314484304028,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,6,8.399997528840686e-05,5.968498044239823e-05,2.53698131928104e-05,0.00019588035938795654,0.0003363313153386116,2.3942482584971003e-05,32,0.083999972110334,0.05968498107433831,0.02536981198780899,0.1958803394986895,0.3363312993637321,0.023942481447764157,32,1.0332878580700506,1.0194905734730546,1.0024484421419213,1.1111714621273479,1.1243466199520007,1.0005646883296186,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,7,8.455741811985718e-05,6.011385085002985e-05,2.6168392287218013e-05,0.0001961357658728957,0.0003363817813806236,2.4790531824692152e-05,32,0.08455741492032295,0.06011385148502925,0.026168391044286133,0.1961357459617519,0.3363817654033471,0.02479053064720513,32,1.0123537379352108,1.0078097274025404,1.001056639251243,1.0379820033882023,1.0411689397262225,1.0001500485970543,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,8,8.537629059901519e-05,6.0582049627555534e-05,2.7702961233444512e-05,0.00019648278976092115,0.0003365040465723723,2.6026558771263808e-05,32,0.08537628736822855,0.06058205025784011,0.02770295991762452,0.19648276982257243,0.3365040305892885,0.02602655753506866,32,1.018325879141686,1.008356533475761,1.0015256110020996,1.0676674751516366,1.072131737640861,1.0003634715032632,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,9,8.570019173248511e-05,6.089625821914524e-05,2.755843561317306e-05,0.0001967807489563711,0.00033668987452983856,2.6711948521551676e-05,32,0.08570018849084561,0.06089625885961726,0.027558434304217668,0.19678072899107513,0.3366898585379284,0.02671194725280226,32,1.0060564998233401,1.0047799530198178,0.9997800585598335,1.0230582715243528,1.0263342440432277,0.9685781438053762,32.0
